"Bruto domaèi proizvod, statistiène regije, Slovenija, letno"

"STATISTIÈNA REGIJA";"MERITVE";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"SLOVENIJA";"Na prebivalca, EUR (v tekoèih cenah in po tekoèem teèaju)";18666;17550;17596;17918;17471;17500;18077;18656;19380;20634;21942;23052;22227;24682;26979;30158
"Pomurska";"Na prebivalca, EUR (v tekoèih cenah in po tekoèem teèaju)";11855;11295;11310;11866;11760;11995;12430;12605;13241;13994;14943;15658;15374;16881;18592;20360
"Podravska";"Na prebivalca, EUR (v tekoèih cenah in po tekoèem teèaju)";15598;14567;14493;14853;14471;14463;15018;15397;15890;16729;17723;18745;18062;20179;22005;24527
"Koroška";"Na prebivalca, EUR (v tekoèih cenah in po tekoèem teèaju)";14313;12794;12841;13582;13582;13631;14120;14902;15424;16369;17388;18312;17400;18773;21123;22742
"Savinjska";"Na prebivalca, EUR (v tekoèih cenah in po tekoèem teèaju)";16603;15436;15778;16285;15899;15814;16420;17048;17622;18709;19669;20650;19527;21709;23995;26110
"Zasavska";"Na prebivalca, EUR (v tekoèih cenah in po tekoèem teèaju)";11202;10371;10547;10624;10086;10119;10245;10216;10466;10963;11595;12312;12238;13326;14703;16456
"Posavska";"Na prebivalca, EUR (v tekoèih cenah in po tekoèem teèaju)";14312;13108;13044;13468;13131;12962;13133;13750;14262;15222;16361;17677;17537;18896;21369;24729
"Jugovzhodna Slovenija";"Na prebivalca, EUR (v tekoèih cenah in po tekoèem teèaju)";18155;16706;16888;17140;16562;16780;17288;17928;18422;20264;21580;23053;22264;23796;25330;27170
"Osrednjeslovenska";"Na prebivalca, EUR (v tekoèih cenah in po tekoèem teèaju)";27158;26031;25842;26069;25540;25413;26008;26571;27727;29304;31270;32821;32501;36706;39155;44567
"Gorenjska";"Na prebivalca, EUR (v tekoèih cenah in po tekoèem teèaju)";15787;14215;14544;14899;14629;15089;15917;16546;17071;18465;19712;20688;18771;20445;23616;26247
"Primorsko-notranjska";"Na prebivalca, EUR (v tekoèih cenah in po tekoèem teèaju)";13623;12860;12490;12637;12182;12485;13052;13947;14535;14980;15675;15940;15331;17495;18603;19720
"Goriška";"Na prebivalca, EUR (v tekoèih cenah in po tekoèem teèaju)";17964;16660;16521;16589;15984;15950;16409;17131;17869;19025;19856;20566;19463;21720;23792;27187
"Obalno-kraška";"Na prebivalca, EUR (v tekoèih cenah in po tekoèem teèaju)";20039;19025;19199;19105;17807;17319;17794;18784;19488;21263;22629;22874;20659;22316;26074;28433
