"Izbrani podatki po statistiènih regijah, Slovenija, letno"

"MERITVE";"STATISTIÈNA REGIJA";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Regionalni bruto domaèi proizvod (mio. EUR)";"SLOVENIJA";37926;36255;36364;37059;36253;36454;37634;38853;40443;43011;45876;48582;47045;52279;57038;63951
"Regionalni bruto domaèi proizvod (mio. EUR)";"Pomurska";1429;1368;1358;1418;1400;1424;1461;1475;1545;1623;1724;1801;1767;1938;2117;2320
"Regionalni bruto domaèi proizvod (mio. EUR)";"Podravska";5035;4770;4724;4832;4714;4723;4920;5016;5169;5428;5765;6157;5965;6667;7230;8086
"Regionalni bruto domaèi proizvod (mio. EUR)";"Koroška";1052;961;960;1007;1008;1019;1045;1091;1130;1182;1270;1326;1264;1359;1478;1607
"Regionalni bruto domaèi proizvod (mio. EUR)";"Savinjska";4231;3997;4083;4209;4123;4125;4239;4426;4591;4865;5127;5416;5135;5703;6205;6817
"Regionalni bruto domaèi proizvod (mio. EUR)";"Zasavska";675;637;642;644;608;610;599;588;603;627;662;702;696;754;830;942
"Regionalni bruto domaèi proizvod (mio. EUR)";"Posavska";1134;1095;1097;1130;1111;1127;1156;1196;1242;1305;1389;1490;1495;1600;1601;1878
"Regionalni bruto domaèi proizvod (mio. EUR)";"Jugovzhodna Slovenija";2554;2394;2415;2451;2372;2405;2468;2555;2637;2899;3118;3361;3266;3485;3709;4004
"Regionalni bruto domaèi proizvod (mio. EUR)";"Osrednjeslovenska";13630;13330;13327;13534;13363;13390;13820;14210;14911;15819;17000;18073;17960;20256;21929;25144
"Regionalni bruto domaèi proizvod (mio. EUR)";"Gorenjska";3191;2922;2984;3055;3003;3103;3268;3392;3502;3785;4047;4293;3935;4344;4995;5493
"Regionalni bruto domaèi proizvod (mio. EUR)";"Primorsko-notranjska";709;680;658;666;643;663;693;738;772;793;834;856;823;940;1003;1064
"Regionalni bruto domaèi proizvod (mio. EUR)";"Goriška";2124;1994;1981;1987;1918;1914;1958;2042;2130;2262;2352;2452;2320;2588;2852;3217
"Regionalni bruto domaèi proizvod (mio. EUR)";"Obalno-kraška";2162;2106;2134;2126;1991;1950;2008;2123;2212;2422;2589;2654;2420;2645;3089;3377
