"OBÈINA PREBIVALIŠÈA;""SPOL"";""2008 SLOVENIJA (delo)"";""2009 SLOVENIJA (delo)"";""2010 SLOVENIJA (delo)"";""2011 SLOVENIJA (delo)"";""2012 SLOVENIJA (delo)"";""2013 SLOVENIJA (delo)"";""2014 SLOVENIJA (delo)"";""2015 SLOVENIJA (delo)"";""2016 SLOVENIJA (delo)"";""2017 SLOVENIJA (delo)"";""2018 SLOVENIJA (delo)"";""2019 SLOVENIJA (delo)"";""2020 SLOVENIJA (delo)"";""2021 SLOVENIJA (delo)"";""2022 SLOVENIJA (delo)"";""2023 SLOVENIJA (delo)"""
"SLOVENIJA (prebivališèe);""Spol - SKUPAJ"";847067;812315;790967;784177;760170;757639;769831;781820;806765;835916;864381;881861;869877;896039;915157;921692"
"Ajdovšèina (prebivališèe);""Spol - SKUPAJ"";8019;7683;7434;7187;6741;6824;7066;7215;7521;7826;8133;8405;8470;8608;8801;8818"
"Ankaran/Ancarano (prebivališèe);""Spol - SKUPAJ"";-;-;-;-;-;-;-;1320;1361;1376;1396;1390;1374;1401;1437;1409"
"Apaèe (prebivališèe);""Spol - SKUPAJ"";1193;1122;1090;1060;1025;998;952;973;978;953;974;974;967;983;1008;1010"
"Beltinci (prebivališèe);""Spol - SKUPAJ"";3288;2896;2938;2984;2916;2897;2818;2841;2899;2890;3017;3032;3023;3141;3203;3267"
"Benedikt (prebivališèe);""Spol - SKUPAJ"";866;846;859;857;834;849;837;880;862;941;985;1005;992;1041;1080;1093"
"Bistrica ob Sotli (prebivališèe);""Spol - SKUPAJ"";431;413;430;429;421;429;428;432;454;472;471;480;485;520;545;534"
"Bled (prebivališèe);""Spol - SKUPAJ"";3236;3130;3070;3074;2946;2986;2952;3025;3121;3167;3248;3350;3329;3507;3494;3457"
"Bloke (prebivališèe);""Spol - SKUPAJ"";657;594;585;590;555;537;562;584;607;665;720;717;691;699;691;686"
"Bohinj (prebivališèe);""Spol - SKUPAJ"";2138;2062;1950;1877;1850;1848;1895;1896;1973;2044;2118;2184;2377;2496;2317;2233"
"Borovnica (prebivališèe);""Spol - SKUPAJ"";1794;1755;1725;1656;1528;1564;1651;1653;1748;1826;1912;1951;1989;2038;2110;2112"
"Bovec (prebivališèe);""Spol - SKUPAJ"";1280;1184;1177;1189;1174;1043;1070;1078;1156;1165;1202;1244;1284;1301;1226;1242"
"Braslovèe (prebivališèe);""Spol - SKUPAJ"";2108;2041;1978;2039;1981;1987;2004;2066;2154;2216;2264;2337;2360;2408;2447;2492"
"Brda (prebivališèe);""Spol - SKUPAJ"";1947;1845;1832;1800;1754;1746;1799;1819;1869;1919;1970;1985;1976;2010;1997;2053"
