"Delovno aktivno prebivalstvo po mestnih naseljih, Slovenija, letno"

"MESTNA NASELJA";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Mestna naselja - SKUPAJ";382342;382766;382675;398521;404748;431389;421037;406302;399122;384587;365257;370638;375636;387640;403732;418913;428521;418899;431578;441121;444899;444884
"Ajdovšèina";2369;2367;2382;2521;2550;2961;2895;2814;2642;2425;2449;2526;2565;2644;2765;2917;3063;3050;3075;3239;3275;3307
"Ankaran/Ancarano";1300;1293;1293;1268;1273;1375;1450;1483;1427;1391;1309;1319;1339;1384;1393;1415;1411;1393;1421;1458;1429;1456
"Beltinci";915;867;852;881;886;906;825;828;846;827;818;821;821;845;877;907;928;932;971;1000;1014;1038
"Bistrica pri Tržièu";1267;1269;1248;1281;1268;1249;1154;1099;1092;1051;1014;1035;1028;1079;1083;1136;1128;1134;1158;1186;1189;1152
"Bled";1995;1947;1942;2014;2025;2059;2039;1968;1989;1873;1900;1847;1890;1964;1990;2044;2100;2092;2200;2201;2196;2160
"Borovnica";900;920;945;993;1005;1005;974;966;929;858;898;969;974;1044;1081;1118;1141;1163;1199;1218;1215;1207
"Bovec";622;632;621;628;638;668;634;630;642;633;537;559;560;602;626;640;673;693;678;642;640;584
"Brezovica pri Ljubljani";966;988;1003;1012;1039;1112;1187;1272;1249;1249;1236;1257;1284;1350;1382;1464;1513;1463;1510;1535;1562;1552
"Brežice";2329;2345;2350;2407;2470;2619;2564;2469;2446;2336;2313;2360;2380;2477;2592;2652;2755;2788;2955;3073;3201;3097
"Celje";13735;13678;13605;14375;14712;16039;15311;14502;14378;13792;13771;13839;13987;14679;15502;16008;16539;16077;16724;17156;17431;17646
"Cerknica";1498;1500;1516;1544;1600;1725;1714;1668;1650;1549;1535;1572;1638;1671;1692;1738;1764;1751;1807;1874;1870;1851
"Cerkno";782;794;806;802;787;789;744;765;757;725;676;690;642;635;627;639;618;597;594;597;590;577
"Èrna na Koroškem";916;934;905;913;911;946;878;841;835;815;787;789;783;769;792;801;789;759;756;755;732;712
"Èrnomelj";2290;2299;2244;2358;2373;2545;2407;2392;2308;2079;2137;2139;2121;2233;2412;2468;2418;2360;2416;2458;2465;2484
"Domžale";4793;4837;4942;5051;5227;5353;5334;5219;5229;5088;5086;5110;5233;5415;5570;5773;5914;5798;5940;5995;6123;6171
"Dravograd";1400;1414;1411;1431;1423;1457;1365;1272;1261;1163;1131;1129;1120;1135;1190;1204;1203;1200;1231;1256;1210;1258
"Gornja Radgona";1298;1285;1290;1285;1293;1307;1204;1161;1114;1055;995;996;995;1002;999;1034;1086;1068;1102;1152;1133;1149
"Grosuplje";2627;2690;2727;2836;2912;3148;3154;3061;3044;2920;2893;2936;3004;3184;3508;3538;3617;3389;3435;3630;3720;3703
"Hrastnik";2140;2125;2138;2227;2253;2271;2079;2009;1964;1801;1772;1767;1724;1781;1840;1900;1870;1802;1829;1883;1836;1779
"Idrija";2350;2346;2334;2477;2466;2605;2473;2386;2409;2345;2303;2335;2337;2389;2486;2585;2619;2474;2543;2587;2580;2562
"Ilirska Bistrica";1738;1720;1701;1783;1812;1876;1807;1721;1699;1639;1623;1619;1604;1652;1694;1751;1803;1780;1827;1876;1927;1913
"Ivanèna Gorica";717;721;741;741;758;844;907;944;934;915;925;940;936;966;1054;1135;1157;1152;1158;1208;1216;1149
"Izola/Isola";3871;3937;4013;4321;4400;4977;4914;4626;4486;4205;4103;4176;4204;4376;4648;4835;4961;4749;4847;4875;4901;4881
"Jesenice";5021;5105;5203;5565;5674;5884;5505;5321;5112;4864;4763;4792;4879;5109;5372;5578;5735;5602;5888;6034;6060;6015
"Kamnik";4976;5119;5173;5441;5751;6217;6090;5885;5787;5596;5564;5630;5686;5854;6057;6308;6370;6271;6414;6511;6565;6506
"Koèevje";3341;3374;3225;3354;3443;3533;3209;3147;3055;2965;2879;2829;2803;2888;3006;3063;3066;2954;3137;3153;3142;3095
"Koper/Capodistria";8837;8778;8748;9272;9440;10530;10721;10536;10191;9671;9643;9682;9954;10249;10742;11182;11221;10996;11194;11273;11592;11686
"Koroška Bela";850;886;870;899;937;945;886;869;847;814;790;802;830;819;851;856;905;883;918;952;948;944
"Kranj";13884;13842;13922;14665;15030;15801;15768;15296;15195;14685;14659;14956;15063;15449;16191;16520;16785;16478;16997;17342;17102;16994
"Kranjska Gora";552;554;557;584;573;593;605;595;578;537;556;547;553;565;577;589;606;1359;1607;871;625;631
"Krško";2583;2619;2648;2822;2874;3264;3130;3018;2841;2717;2725;2677;2687;2795;2957;3095;3258;2896;3014;3047;3108;3097
"Laško";1317;1304;1292;1320;1355;1452;1378;1299;1292;1280;1219;1257;1248;1282;1296;1304;1322;1301;1371;1359;1410;1425
"Lenart v Slov. goricah";1115;1122;1116;1177;1159;1199;1273;1208;1237;1187;1220;1161;1167;1209;1224;1245;1319;1284;1340;1378;1364;1376
"Lendava/Lendva";1204;1173;1163;1153;1152;1204;1224;1159;1128;1085;1067;1076;1021;1070;1156;1195;1226;1201;1255;1305;1360;1315
"Lesce";1041;1068;1087;1111;1105;1118;1115;1103;1096;1060;1072;1062;1093;1162;1205;1212;1235;1198;1285;1292;1291;1291
"Litija";2724;2724;2730;2820;2874;2995;2909;2837;2791;2716;2690;2671;2724;2823;2941;3001;3079;2989;3059;3104;3115;3145
"Ljubljana";99636;99605;99376;104305;105634;113511;113360;109225;107787;104654;104359;106466;109022;113163;117697;122387;125867;122411;125386;127964;130295;131319
"Ljutomer";1287;1279;1276;1286;1297;1305;1254;1235;1225;1172;1142;1173;1204;1221;1247;1315;1334;1338;1378;1439;1491;1455
"Logatec";3400;3430;3473;3614;3751;3928;3966;3885;3945;3884;3771;3895;3939;4043;4141;4289;4494;4470;4598;4765;4830;4692
"Lucija/Lucia";2226;2253;2240;2319;2329;2488;2505;2417;2398;2362;2322;2373;2352;2420;2442;2465;2460;2461;2587;2574;2543;2542
"Maribor";32727;32675;32568;33653;34003;36970;35322;33844;32624;31270;31016;31782;32114;32800;33883;35379;36655;35925;37173;38408;38519;38406
"Medvode";1934;1963;1959;1988;2030;2122;2085;1992;1938;1880;1832;1836;1869;1987;2092;2204;2229;2179;2225;2276;2284;2299
"Mengeš";2338;2320;2335;2398;2476;2650;2631;2524;2484;2447;2457;2486;2522;2619;2797;2921;3069;3113;3253;3325;3375;3348
"Metlika";1245;1252;1215;1252;1253;1307;1418;1377;1352;1270;1241;1278;1265;1302;1373;1430;1439;1398;1460;1510;1495;1488
"Mežica";1257;1267;1276;1286;1301;1284;1211;1153;1174;1149;1143;1158;1169;1171;1205;1250;1260;1210;1255;1270;1250;1219
"Miklavž na Dravskem polju";1439;1453;1472;1509;1506;1595;1529;1481;1477;1432;1456;1467;1490;1526;1571;1679;1815;1738;1809;1899;1869;1880
"Miren";530;523;534;536;551;603;546;532;527;532;524;536;541;582;609;632;643;646;656;671;689;651
"Mozirje";832;815;810;822;840;847;860;853;828;799;778;763;802;821;879;892;904;929;1023;1085;1102;1094
"Murska Sobota";5010;4896;4800;4785;4715;4710;4199;4212;4135;3955;3844;3832;3835;3920;4010;4089;4117;4048;4212;4305;4324;4247
"Muta";944;965;970;980;999;1000;899;852;863;819;808;810;816;830;847;872;867;862;869;889;867;854
"Naklo";651;663;658;682;663;680;686;670;661;646;627;638;656;711;754;807;784;803;828;856;831;825
"Nova Gorica";5116;5024;5065;5226;5239;5755;5483;5293;5047;4746;4741;4899;4983;5134;5343;5477;5541;5308;5597;5761;5792;5816
"Novo mesto";8615;8608;8529;8981;9154;10007;9923;9586;9364;8894;8831;9104;9065;9340;10017;10494;10752;10310;10500;10684;10817;10799
"Ormož";928;925;899;904;865;874;807;824;746;716;754;772;772;728;739;757;750;736;734;784;772;788
"Piran/Pirano";1575;1552;1584;1652;1633;1724;1760;1729;1661;1530;1444;1449;1422;1471;1471;1439;1489;1462;1522;1508;1459;1482
"Pivka";842;845;864;907;917;999;934;901;852;849;852;878;864;888;921;974;991;968;1002;1046;1029;1036
"Polzela";884;879;863;886;899;942;906;877;870;821;824;802;865;878;894;905;941;935;971;1020;1063;1120
"Portorož/Portorose";1041;1040;1041;1084;1071;1195;1247;1186;1191;1075;1079;1076;1105;1134;1216;1249;1213;1224;1295;1245;1273;1244
"Postojna";3356;3399;3428;3755;3872;4253;4203;4090;3943;3705;3722;3803;3819;3934;4104;4240;4303;4175;4449;4488;4508;4424
"Prebold";607;576;596;632;642;700;695;714;696;681;673;670;677;708;701;764;772;740;723;778;707;691
"Prevalje";1597;1602;1619;1663;1682;1811;1689;1646;1675;1598;1606;1649;1625;1648;1710;1792;1804;1814;1806;1838;1828;1766
"Ptuj";6858;6871;6889;7062;7124;7241;7078;6718;6566;6444;6522;6733;6753;6758;6967;7549;7747;7746;7957;8354;8469;8671
"Raèe";872;881;900;935;976;996;1048;1022;1033;1010;1006;1016;1042;1063;1139;1248;1267;1259;1286;1332;1324;1351
"Radeèe";910;926;934;957;975;988;948;895;885;800;795;821;821;834;854;849;842;809;823;824;855;829
"Radenci";890;891;891;922;899;866;808;776;755;719;708;684;699;704;723;732;763;751;710;741;762;761
"Radlje ob Dravi";1037;1055;1030;1066;1116;1138;1036;1004;1027;990;955;960;972;982;1023;1059;1065;1017;1051;1078;1117;1098
"Radovljica";2246;2207;2229;2269;2286;2250;2245;2137;2112;2060;2092;2110;2204;2247;2369;2437;2456;2341;2431;2443;2438;2458
"Ravne na Koroškem";2978;3003;2979;2970;3030;3023;2729;2568;2594;2494;2420;2461;2460;2525;2846;2955;2943;2871;2909;2919;2913;2911
"Ribnica";1300;1304;1317;1381;1422;1488;1436;1437;1452;1409;1407;1448;1466;1505;1542;1633;1590;1540;1609;1615;1605;1584
"Rogaška Slatina";1856;1862;1839;1904;1921;2161;2244;2300;2241;2203;2167;2198;2141;2214;2256;2313;2377;2284;2533;2680;2670;2604
"Rogatec";556;549;538;556;584;623;678;676;681;663;642;658;671;730;728;782;781;738;781;780;771;760
"Ruše";1688;1739;1754;1816;1831;1791;1681;1668;1605;1607;1602;1571;1602;1589;1636;1665;1692;1661;1708;1790;1830;1822
"Senovo";821;845;794;867;888;982;915;879;854;844;776;812;849;877;930;965;938;945;968;1006;1007;1026
"Sevnica";1863;1879;1857;1893;1931;2151;2091;1951;1893;1711;1717;1732;1772;1799;1873;1984;2073;1994;2043;2049;2024;2029
"Sežana";1893;1818;1830;1990;2023;2559;2533;2443;2454;2308;2318;2357;2401;2536;2670;2796;2879;2778;2822;2841;2865;2914
