obcina;regija
Ajdovščina;Goriška
Ankaran;Obalno-kraška
Apače;Pomurska
Beltinci;Pomurska
Benedikt;Podravska
Bistrica ob Sotli;Savinjska
Bled;Gorenjska
Bloke;Primorsko-notranjska
Bohinj;Gorenjska
Borovnica;Osrednjeslovenska
Bovec;Goriška
Braslovče;Savinjska
Brda;Goriška
Brezovica;Osrednjeslovenska
Brežice;Posavska
Cankova;Pomurska
Celje;Savinjska
Cerklje na Gorenjskem;Gorenjska
Cerknica;Primorsko-notranjska
Cerkno;Goriška
Cerkvenjak;Podravska
Cirkulane;Podravska
Črenšovci;Pomurska
Črna na Koroškem;Koroška
Črnomelj;Jugovzhodna Slovenija
Destrnik;Podravska
Divača;Obalno-kraška
Dobje;Savinjska
Dobrepolje;Osrednjeslovenska
Dobrna;Savinjska
Dobrova - Polhov Gradec;Osrednjeslovenska
Dobrovnik;Pomurska
Dol pri Ljubljani;Osrednjeslovenska
Dolenjske Toplice;Jugovzhodna Slovenija
Domžale;Osrednjeslovenska
Dornava;Podravska
Dravograd;Koroška
Duplek;Podravska
Gorenja vas - Poljane;Gorenjska
Gorišnica;Podravska
Gorje;Gorenjska
Gornja Radgona;Pomurska
Gornji Grad;Savinjska
Gornji Petrovci;Pomurska
Grad;Pomurska
Grosuplje;Osrednjeslovenska
Hajdina;Podravska
Hoče - Slivnica;Podravska
Hodoš;Pomurska
Horjul;Osrednjeslovenska
Hrastnik;Zasavska
Hrpelje - Kozina;Obalno-kraška
Idrija;Goriška
Ig;Osrednjeslovenska
Ilirska Bistrica;Primorsko-notranjska
Ivančna Gorica;Osrednjeslovenska
Izola;Obalno-kraška
Jesenice;Gorenjska
Jezersko;Gorenjska
Juršinci;Podravska
Kamnik;Osrednjeslovenska
Kanal ob Soči;Goriška
Kidričevo;Podravska
Kobarid;Goriška
Kobilje;Pomurska
Kočevje;Jugovzhodna Slovenija
Komen;Goriška
Komenda;Osrednjeslovenska
Koper;Obalno-kraška
Kostanjevica na Krki;Jugovzhodna Slovenija
Kostel;Jugovzhodna Slovenija
Kozje;Savinjska
Kranj;Gorenjska
Kranjska Gora;Gorenjska
Križevci;Pomurska
Krško;Posavska
Kungota;Podravska
Kuzma;Pomurska
Laško;Savinjska
Lenart;Podravska
Lendava;Pomurska
Litija;Zasavska
Ljubljana;Osrednjeslovenska
Ljubno;Savinjska
Ljutomer;Pomurska
Log - Dragomer;Osrednjeslovenska
Logatec;Osrednjeslovenska
Loška dolina;Primorsko-notranjska
Loški Potok;Jugovzhodna Slovenija
Lovrenc na Pohorju;Podravska
Luče;Savinjska
Lukovica;Osrednjeslovenska
Majšperk;Podravska
Makole;Podravska
Maribor;Podravska
Markovci;Podravska
Medvode;Osrednjeslovenska
Mengeš;Osrednjeslovenska
Metlika;Jugovzhodna Slovenija
Mežica;Koroška
Miklavž na Dravskem polju;Podravska
Miren - Kostanjevica;Goriška
Mirna;Jugovzhodna Slovenija
Mirna Peč;Jugovzhodna Slovenija
Mislinja;Koroška
Mokronog - Trebelno;Jugovzhodna Slovenija
Moravče;Osrednjeslovenska
Moravske Toplice;Pomurska
Mozirje;Savinjska
Murska Sobota;Pomurska
Muta;Koroška
Naklo;Gorenjska
Nazarje;Savinjska
Nova Gorica;Goriška
Novo mesto;Jugovzhodna Slovenija
Odranci;Pomurska
Oplotnica;Podravska
Ormož;Podravska
Osilnica;Jugovzhodna Slovenija
Pesnica;Podravska
Piran;Obalno-kraška
Pivka;Primorsko-notranjska
Podčetrtek;Savinjska
Podlehnik;Podravska
Podvelka;Koroška
Poljčane;Podravska
Polzela;Savinjska
Postojna;Primorsko-notranjska
Prebold;Savinjska
Preddvor;Gorenjska
Prevalje;Koroška
Ptuj;Podravska
Puconci;Pomurska
Rače - Fram;Podravska
Radeče;Zasavska
Radenci;Pomurska
Radlje ob Dravi;Koroška
Radovljica;Gorenjska
Ravne na Koroškem;Koroška
Razkrižje;Pomurska
Rečica ob Savinji;Savinjska
Renče - Vogrsko;Goriška
Ribnica;Jugovzhodna Slovenija
Ribnica na Pohorju;Koroška
Rogaška Slatina;Savinjska
Rogašovci;Pomurska
Rogatec;Savinjska
Ruše;Podravska
Selnica ob Dravi;Podravska
Semič;Jugovzhodna Slovenija
Sevnica;Posavska
Sežana;Obalno-kraška
Slovenj Gradec;Koroška
Slovenska Bistrica;Podravska
Slovenske Konjice;Savinjska
Sodražica;Jugovzhodna Slovenija
Solčava;Savinjska
Središče ob Dravi;Podravska
Starše;Podravska
Straža;Jugovzhodna Slovenija
Sveta Ana;Podravska
Sveta Trojica v Slov. goricah;Podravska
Sveti Andraž v Slov. goricah;Podravska
Sveti Jurij ob Ščavnici;Pomurska
Sveti Jurij v Slov. goricah;Podravska
Sveti Tomaž;Podravska
Šalovci;Pomurska
Šempeter - Vrtojba;Goriška
Šenčur;Gorenjska
Šentilj;Podravska
Šentjernej;Jugovzhodna Slovenija
Šentjur;Savinjska
Šentrupert;Jugovzhodna Slovenija
Škocjan;Jugovzhodna Slovenija
Škofja Loka;Gorenjska
Škofljica;Osrednjeslovenska
Šmarje pri Jelšah;Savinjska
Šmarješke Toplice;Jugovzhodna Slovenija
Šmartno ob Paki;Savinjska
Šmartno pri Litiji;Osrednjeslovenska
Šoštanj;Savinjska
Štore;Savinjska
Tabor;Savinjska
Tišina;Pomurska
Tolmin;Goriška
Trbovlje;Zasavska
Trebnje;Jugovzhodna Slovenija
Trnovska vas;Podravska
Tržič;Gorenjska
Trzin;Osrednjeslovenska
Turnišče;Pomurska
Velenje;Savinjska
Velika Polana;Pomurska
Velike Lašče;Osrednjeslovenska
Veržej;Pomurska
Videm;Podravska
Vipava;Goriška
Vitanje;Savinjska
Vodice;Osrednjeslovenska
Vojnik;Savinjska
Vransko;Savinjska
Vrhnika;Osrednjeslovenska
Vuzenica;Koroška
Zagorje ob Savi;Zasavska
Zavrč;Podravska
Zreče;Savinjska
Žalec;Savinjska
Železniki;Gorenjska
Žetale;Podravska
Žiri;Gorenjska
Žirovnica;Gorenjska
